trial,n_real,n_pos
1,2,1
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,1
11,2,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,1
18,2,2
19,2,2
20,2,1
21,2,1
22,2,0
23,2,1
24,2,0
25,2,0
26,2,0
27,2,0
28,2,1
29,2,0
30,2,0
31,2,0
32,2,1
33,2,0
34,4,0
35,2,0
36,2,0
37,0,0
38,4,3
39,2,1
40,2,0
41,2,0
42,2,1
43,0,0
44,2,1
45,2,1
46,2,0
47,4,0
48,2,1
49,2,1
50,2,0
51,2,0
52,2,1
53,2,0
54,2,0
55,0,0
56,0,0
57,2,0
58,2,1
59,2,0
60,2,1
61,2,0
62,2,0
63,2,1
64,2,0
65,2,0
66,2,1
67,2,0
68,2,0
69,2,1
70,2,1
71,2,2
72,4,0
73,2,1
74,2,0
75,2,1
76,2,1
77,2,1
78,2,0
79,2,0
80,2,0
81,2,0
82,2,0
83,2,0
84,2,1
85,4,2
86,2,0
87,2,0
88,2,1
89,4,2
90,2,0
91,2,1
92,2,1
93,2,1
94,2,0
95,2,0
96,2,0
97,2,1
98,2,0
99,2,0
100,2,1
101,2,0
102,2,1
103,2,0
104,0,0
105,2,1
106,2,1
107,2,2
108,2,0
109,2,0
110,2,0
111,2,1
112,2,1
113,4,0
114,2,1
115,2,1
116,4,2
117,2,0
118,2,1
119,2,0
120,2,0
121,2,1
122,2,1
123,2,0
124,4,0
125,2,0
126,4,2
127,0,0
128,2,0
129,2,0
130,2,0
131,2,2
132,2,1
133,2,0
134,2,1
135,2,1
136,2,0
137,2,1
138,2,0
139,2,1
140,4,0
141,2,1
142,2,0
143,2,0
144,2,0
145,4,0
146,4,0
147,2,0
148,0,0
149,2,1
150,2,0
151,2,0
152,2,1
153,4,2
154,2,0
155,4,0
156,4,3
157,2,0
158,4,1
159,2,0
160,2,0
161,2,0
162,2,1
163,2,0
164,2,0
165,4,0
166,2,0
167,2,0
168,2,1
169,2,0
170,2,1
171,2,1
172,2,2
173,2,1
174,2,1
175,2,1
176,2,1
177,2,2
178,2,0
179,2,1
180,0,0
181,2,0
182,2,0
183,2,1
184,4,1
185,0,0
186,4,2
187,4,0
188,2,0
189,2,0
190,2,0
191,4,0
192,0,0
193,0,0
194,2,0
195,2,0
196,2,0
197,2,2
198,0,0
199,2,1
200,0,0
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,4,0
209,2,0
210,2,1
211,2,0
212,2,0
213,4,0
214,2,1
215,2,1
216,2,0
217,2,0
218,4,1
219,2,1
220,0,0
221,2,1
222,0,0
223,2,1
224,2,2
225,2,0
226,4,1
227,2,0
228,4,0
229,2,1
230,2,1
231,2,1
232,2,1
233,2,0
234,2,0
235,4,2
236,2,1
237,0,0
238,2,0
239,2,0
240,2,0
241,2,0
242,2,1
243,4,2
244,2,0
245,2,0
246,2,0
247,2,1
248,2,0
249,2,2
250,2,1
251,2,0
252,0,0
253,0,0
254,4,1
255,0,0
256,4,0
257,2,2
258,2,0
259,4,2
260,2,1
261,2,0
262,4,2
263,2,0
264,2,0
265,2,1
266,2,0
267,2,0
268,2,1
269,2,1
270,0,0
271,4,0
272,4,0
273,2,1
274,2,1
275,2,0
276,2,0
277,2,0
278,4,1
279,2,0
280,2,0
281,2,0
282,2,1
283,2,0
284,2,0
285,2,0
286,2,0
287,2,0
288,0,0
289,2,1
290,2,1
291,2,1
292,2,0
293,2,0
294,2,0
295,0,0
296,2,1
297,2,0
298,4,0
299,4,2
300,4,1
301,2,0
302,2,0
303,0,0
304,2,1
305,2,1
306,2,0
307,2,0
308,2,0
309,4,3
310,2,0
311,2,0
312,2,1
313,0,0
314,2,0
315,4,0
316,2,0
317,2,0
318,4,3
319,0,0
320,2,2
321,2,2
322,2,1
323,2,2
324,2,0
325,2,0
326,2,1
327,2,0
328,2,2
329,2,1
330,2,0
331,2,1
332,4,1
333,4,2
334,4,1
335,2,1
336,2,0
337,2,1
338,2,1
339,2,0
340,2,0
341,2,0
342,2,1
343,0,0
344,2,0
345,2,0
346,2,1
347,2,0
348,2,2
349,4,2
350,2,0
351,2,1
352,2,0
353,2,1
354,2,1
355,4,0
356,4,2
357,0,0
358,2,1
359,0,0
360,4,3
361,2,0
362,2,0
363,2,1
364,0,0
365,0,0
366,4,2
367,4,1
368,4,2
369,2,1
370,2,1
371,2,0
372,2,0
373,2,0
374,2,0
375,4,1
376,2,0
377,2,1
378,2,0
379,2,0
380,2,1
381,4,0
382,2,1
383,4,2
384,2,1
385,4,0
386,2,0
387,2,1
388,2,0
389,2,1
390,2,0
391,2,1
392,4,1
393,2,0
394,4,0
395,4,0
396,2,0
397,2,1
398,2,0
399,2,1
400,2,0
401,2,1
402,2,0
403,2,0
404,2,1
405,2,1
406,2,1
407,2,0
408,2,0
409,4,1
410,2,0
411,2,0
412,4,1
413,2,0
414,2,1
415,2,2
416,2,0
417,2,0
418,2,0
419,2,2
420,0,0
421,2,0
422,2,0
423,2,1
424,2,1
425,2,1
426,2,1
427,2,2
428,0,0
429,4,1
430,2,1
431,2,0
432,2,0
433,2,0
434,2,1
435,4,2
436,2,2
437,4,2
438,2,1
439,2,0
440,2,0
441,2,0
442,2,0
443,2,1
444,2,0
445,2,1
446,0,0
447,2,0
448,4,2
449,2,0
450,2,0
451,2,1
452,4,0
453,2,0
454,2,1
455,4,1
456,2,0
457,0,0
458,2,1
459,4,0
460,2,1
461,2,1
462,2,1
463,2,0
464,2,1
465,4,1
466,2,1
467,2,1
468,2,1
469,2,0
470,2,0
471,2,0
472,2,0
473,2,1
474,2,0
475,0,0
476,4,0
477,2,1
478,2,1
479,2,1
480,2,1
481,2,0
482,2,0
483,2,0
484,2,0
485,2,0
486,2,0
487,4,0
488,2,0
489,2,0
490,2,0
491,2,0
492,4,2
493,2,0
494,2,1
495,2,0
496,2,0
497,2,2
498,0,0
499,2,1
500,2,0
501,0,0
502,2,0
503,4,3
504,2,0
505,2,0
506,2,1
507,2,1
508,2,1
509,2,0
510,2,1
511,2,0
512,2,0
513,4,1
514,2,1
515,2,1
516,2,1
517,4,0
518,4,1
519,4,0
520,2,0
521,2,0
522,2,1
523,2,0
524,0,0
525,2,1
526,4,1
527,0,0
528,0,0
529,2,0
530,2,0
531,2,0
532,4,2
533,2,1
534,2,1
535,2,0
536,2,0
537,2,0
538,2,0
539,2,1
540,2,0
541,2,1
542,4,1
543,2,1
544,0,0
545,2,1
546,4,0
547,2,1
548,2,1
549,2,0
550,2,0
551,2,0
552,2,0
553,2,0
554,2,1
555,4,0
556,0,0
557,4,1
558,2,1
559,2,2
560,2,1
561,4,2
562,4,1
563,2,0
564,2,1
565,2,0
566,2,1
567,2,0
568,2,1
569,4,1
570,2,2
571,2,0
572,2,0
573,2,1
574,0,0
575,4,3
576,4,3
577,2,1
578,2,1
579,2,1
580,2,0
581,2,1
582,2,0
583,4,1
584,2,0
585,2,1
586,2,0
587,2,0
588,0,0
589,2,0
590,2,1
591,2,1
592,4,1
593,2,1
594,2,1
595,2,2
596,2,1
597,2,0
598,2,0
599,4,1
600,2,0
601,0,0
602,4,1
603,2,0
604,4,1
605,2,1
606,2,0
607,2,1
608,2,0
609,2,1
610,2,1
611,2,1
612,2,0
613,2,1
614,2,0
615,2,0
616,4,0
617,2,1
618,2,0
619,2,0
620,2,0
621,2,0
622,2,1
623,0,0
624,0,0
625,0,0
626,2,0
627,2,1
628,2,0
629,2,0
630,2,1
631,2,1
632,4,1
633,2,1
634,4,1
635,2,1
636,4,0
637,2,0
638,2,1
639,4,1
640,4,0
641,2,0
642,2,2
643,4,0
644,2,1
645,0,0
646,2,2
647,2,1
648,2,0
649,4,0
650,2,0
651,2,0
652,2,0
653,2,0
654,2,1
655,0,0
656,2,1
657,2,1
658,2,0
659,2,0
660,2,0
661,2,0
662,2,1
663,2,1
664,2,1
665,0,0
666,2,1
667,2,0
668,2,0
669,4,0
670,0,0
671,0,0
672,2,0
673,2,1
674,4,1
675,2,0
676,2,0
677,2,0
678,4,1
679,2,0
680,2,0
681,2,1
682,4,0
683,2,1
684,2,1
685,2,1
686,2,1
687,2,0
688,4,0
689,2,0
690,2,1
691,2,0
692,4,1
693,0,0
694,4,1
695,2,0
696,2,0
697,2,1
698,4,0
699,2,0
700,2,0
701,2,0
702,2,1
703,2,1
704,2,0
705,4,0
706,2,1
707,4,0
708,2,1
709,2,0
710,0,0
711,0,0
712,0,0
713,2,1
714,2,1
715,2,1
716,2,0
717,0,0
718,0,0
719,2,1
720,4,3
721,4,1
722,2,1
723,2,0
724,0,0
725,4,1
726,2,0
727,2,0
728,4,0
729,2,0
730,2,0
731,2,1
732,4,1
733,2,1
734,2,0
735,2,0
736,2,0
737,4,2
738,2,2
739,2,0
740,4,2
741,2,0
742,2,0
743,4,0
744,2,1
745,2,0
746,2,0
747,2,0
748,2,0
749,2,1
750,4,1
751,4,1
752,2,0
753,4,2
754,2,0
755,2,1
756,2,0
757,2,0
758,2,0
759,2,0
760,2,2
761,4,1
762,2,1
763,4,1
764,2,0
765,2,1
766,4,2
767,2,1
768,2,1
769,2,0
770,2,0
771,2,1
772,2,0
773,4,2
774,2,0
775,2,1
776,2,0
777,2,0
778,2,0
779,2,0
780,0,0
781,2,1
782,2,0
783,4,1
784,2,0
785,2,0
786,0,0
787,2,0
788,2,0
789,4,0
790,2,1
791,2,0
792,2,0
793,2,1
794,2,0
795,2,1
796,2,0
797,2,0
798,2,0
799,4,2
800,2,0
801,4,2
802,2,1
803,2,0
804,4,0
805,2,1
806,0,0
807,2,1
808,2,1
809,2,1
810,4,2
811,2,1
812,2,0
813,2,0
814,2,0
815,2,0
816,2,0
817,2,0
818,2,0
819,0,0
820,4,0
821,2,0
822,2,0
823,4,0
824,2,0
825,2,1
826,2,0
827,4,0
828,2,1
829,2,0
830,2,1
831,2,0
832,2,1
833,2,0
834,0,0
835,2,1
836,2,0
837,2,0
838,4,0
839,2,1
840,2,1
841,2,1
842,4,1
843,2,0
844,2,1
845,2,1
846,2,0
847,2,1
848,2,0
849,2,1
850,2,0
851,2,0
852,2,0
853,2,1
854,2,0
855,2,0
856,2,0
857,4,1
858,2,0
859,2,1
860,2,0
861,4,1
862,2,0
863,2,0
864,2,1
865,4,1
866,0,0
867,4,0
868,2,0
869,2,1
870,4,0
871,2,0
872,2,0
873,4,0
874,2,1
875,2,0
876,2,0
877,4,1
878,4,0
879,2,0
880,0,0
881,2,1
882,2,0
883,4,1
884,2,1
885,4,1
886,2,0
887,2,1
888,2,1
889,2,0
890,2,0
891,2,2
892,2,1
893,2,0
894,2,0
895,2,1
896,4,1
897,2,0
898,2,0
899,4,0
900,4,0
901,2,2
902,0,0
903,2,0
904,2,1
905,0,0
906,4,1
907,0,0
908,2,0
909,2,0
910,4,2
911,2,0
912,0,0
913,4,3
914,2,0
915,2,1
916,2,0
917,4,0
918,2,1
919,0,0
920,0,0
921,2,0
922,2,1
923,2,0
924,2,1
925,2,0
926,4,0
927,2,0
928,0,0
929,2,0
930,2,1
931,2,1
932,2,2
933,2,0
934,4,0
935,2,1
936,2,1
937,4,1
938,2,0
939,2,0
940,2,0
941,2,0
942,4,3
943,0,0
944,2,1
945,2,0
946,2,0
947,2,0
948,2,1
949,2,0
950,2,1
951,2,0
952,2,1
953,2,0
954,2,1
955,2,0
956,2,1
957,2,0
958,2,0
959,2,0
960,2,2
961,2,0
962,2,1
963,0,0
964,2,0
965,4,1
966,2,0
967,4,0
968,2,1
969,2,0
970,2,0
971,2,0
972,2,0
973,2,2
974,2,1
975,2,0
976,0,0
977,2,0
978,2,0
979,2,1
980,2,0
981,4,2
982,2,1
983,2,0
984,4,2
985,2,1
986,2,0
987,2,0
988,2,0
989,2,0
990,2,1
991,2,1
992,0,0
993,2,0
994,2,1
995,2,2
996,4,1
997,2,0
998,2,1
999,2,0
1000,2,1
1001,2,0
1002,2,1
1003,2,0
1004,4,3
1005,2,0
1006,4,1
1007,2,0
1008,2,1
1009,2,1
1010,2,1
1011,2,0
1012,2,0
1013,2,0
1014,2,0
1015,2,1
1016,2,0
1017,2,0
1018,2,0
1019,2,0
1020,2,0
1021,2,0
1022,0,0
1023,2,0
1024,2,1
1025,4,1
1026,2,0
1027,2,0
1028,2,1
1029,4,1
1030,2,0
1031,2,0
1032,2,1
1033,2,0
1034,4,1
1035,2,1
1036,2,2
1037,2,2
1038,2,0
1039,2,0
1040,0,0
1041,2,1
1042,2,0
1043,4,2
1044,2,1
1045,2,0
1046,2,0
1047,0,0
1048,2,1
1049,2,0
1050,2,0
1051,2,0
1052,4,2
1053,2,0
1054,2,1
1055,2,0
1056,2,1
1057,2,0
1058,0,0
1059,2,1
1060,4,0
1061,2,0
1062,2,1
1063,2,1
1064,2,0
1065,2,2
1066,2,1
1067,0,0
1068,2,0
1069,2,1
1070,2,1
1071,0,0
1072,2,1
1073,2,0
1074,2,0
1075,4,0
1076,2,0
1077,2,2
1078,2,1
1079,2,0
1080,2,1
1081,2,0
1082,2,0
1083,2,0
1084,2,0
1085,4,1
1086,2,2
1087,4,0
1088,2,1
1089,2,1
1090,4,1
1091,0,0
1092,4,0
1093,2,0
1094,2,0
1095,2,0
1096,2,0
1097,2,0
1098,2,0
1099,4,0
1100,4,1
1101,2,2
1102,2,0
1103,2,0
1104,2,0
1105,2,0
1106,0,0
1107,0,0
1108,2,0
1109,0,0
1110,2,1
1111,2,1
1112,2,0
1113,2,1
1114,2,0
1115,2,2
1116,2,1
1117,2,0
1118,2,1
1119,4,0
1120,0,0
1121,2,0
1122,2,0
1123,2,1
1124,2,0
1125,2,0
1126,2,1
1127,2,0
1128,4,2
1129,2,0
1130,2,0
1131,2,0
1132,2,0
1133,2,1
1134,2,1
1135,2,0
1136,2,1
1137,2,0
1138,2,0
1139,0,0
1140,2,0
1141,2,1
1142,2,0
1143,2,0
1144,2,0
1145,2,0
1146,2,0
1147,2,0
1148,2,0
1149,2,1
1150,2,0
1151,2,0
1152,4,2
1153,2,0
1154,4,2
1155,2,1
1156,2,1
1157,2,0
1158,2,0
1159,2,1
1160,0,0
1161,4,0
1162,4,0
1163,2,1
1164,2,1
1165,0,0
1166,0,0
1167,2,0
1168,2,0
1169,4,0
1170,2,1
1171,4,2
1172,2,1
1173,2,1
1174,2,0
1175,2,2
1176,2,1
1177,2,0
1178,2,1
1179,2,0
1180,2,0
1181,2,0
1182,4,2
1183,4,1
1184,2,1
1185,2,0
1186,2,1
1187,4,0
1188,2,0
1189,0,0
1190,2,0
1191,2,0
1192,2,1
1193,0,0
1194,2,0
1195,2,0
1196,4,1
1197,2,0
1198,2,0
1199,4,1
1200,2,0
1201,4,1
1202,2,0
1203,2,0
1204,0,0
1205,2,1
1206,2,2
1207,2,1
1208,2,2
1209,2,1
1210,2,0
1211,2,1
1212,2,0
1213,4,1
1214,4,1
1215,0,0
1216,2,0
1217,4,0
1218,0,0
1219,2,1
1220,2,0
1221,2,1
1222,4,0
1223,2,0
1224,2,0
1225,4,2
1226,2,1
1227,2,1
1228,4,3
1229,2,1
1230,2,1
1231,4,0
1232,2,2
1233,4,2
1234,2,0
1235,2,1
1236,2,1
1237,4,1
1238,0,0
1239,2,0
1240,2,0
1241,4,0
1242,2,0
1243,4,1
1244,2,0
1245,2,1
1246,2,0
1247,2,1
1248,2,0
1249,2,1
1250,2,0
1251,2,0
1252,2,0
1253,2,0
1254,2,1
1255,2,0
1256,2,1
1257,2,1
1258,2,0
1259,4,0
1260,2,1
1261,2,0
1262,2,0
1263,2,0
1264,4,0
1265,2,1
1266,2,1
1267,2,0
1268,0,0
1269,2,0
1270,2,0
1271,2,1
1272,2,0
1273,2,0
1274,2,1
1275,0,0
1276,2,1
1277,2,0
1278,2,0
1279,2,0
1280,2,1
1281,2,1
1282,4,1
1283,2,0
1284,4,2
1285,2,1
1286,2,1
1287,2,1
1288,0,0
1289,2,1
1290,2,1
1291,2,2
1292,2,1
1293,0,0
1294,4,1
1295,0,0
1296,2,0
1297,2,1
1298,2,1
1299,4,1
1300,2,0
1301,2,1
1302,2,1
1303,2,1
1304,4,1
1305,2,1
1306,0,0
1307,2,1
1308,2,1
1309,2,1
1310,0,0
1311,2,0
