rank,pred_reward,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,c1,c2,c3,c4,c5
1,8.056971549987793,-0.9971355199813843,-1.0,-0.9427813291549683,-1.0,-1.0,-1.0,-1.0,-1.0,0.9504002332687378,1.0,1.0,1.0,-1.0,1.0,-0.9765344858169556,1.0,0.9979269504547119,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.9824256896972656,-1.0
2,8.055559158325195,-0.9993751645088196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9947627186775208,0.9863150119781494,1.0,0.9966022968292236,1.0,-0.9876676797866821,1.0,-1.0,0.915353536605835,0.9862868785858154,-1.0,-0.9514381885528564,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.9984325170516968,0.9773672819137573,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.8811228275299072
3,8.054759979248047,-0.9080479741096497,-1.0,-0.9493902921676636,-1.0,-1.0,-0.969533383846283,-1.0,-1.0,1.0,0.9531979560852051,1.0,1.0,-1.0,1.0,-0.9957413077354431,1.0,1.0,-1.0,-1.0,-1.0,0.9333250522613525,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-0.8429078459739685,1.0,-1.0,1.0,1.0,1.0,-0.8145578503608704
4,8.054428100585938,-1.0,-1.0,-1.0,-0.9499803781509399,-1.0,-1.0,-0.9694349765777588,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.9727816581726074,-1.0,-1.0,-0.9758577346801758,1.0,-1.0,1.0,0.8872731924057007,1.0,-0.9843164086341858,-1.0,1.0,0.9564313888549805,-0.9549581408500671,0.9740887880325317,-0.9971060752868652,1.0,0.9813127517700195,0.928377628326416,-1.0
5,8.054364204406738,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9551182985305786,-1.0,-0.7892328500747681,0.9833989143371582,1.0,1.0,0.8222866058349609,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9430599212646484,-1.0,1.0,-1.0,0.977238655090332,1.0,1.0,-1.0,-1.0,0.9744999408721924,0.9886595010757446,-1.0,0.9704039096832275,-0.9579269289970398,0.9848542213439941,0.9855821132659912,1.0,-1.0
6,8.05346393585205,-1.0,-1.0,-0.9728566408157349,-0.9277326464653015,-1.0,-0.9873789548873901,-1.0,-0.9534673690795898,1.0,1.0,0.9898459911346436,0.9685860872268677,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.984806478023529,0.9743330478668213,0.9901280403137207,1.0,-1.0,-1.0,1.0,1.0,-0.972068190574646,1.0,-0.8948855400085449,1.0,0.8757011890411377,0.9209598302841187,-0.9829179048538208
7,8.051202774047852,-1.0,-1.0,-1.0,-0.8991200923919678,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.9310519695281982,-1.0,1.0,-0.8040570616722107,1.0,1.0,-1.0,-0.960166871547699,-0.9724016189575195,0.9658472537994385,-1.0,1.0,0.800073504447937,1.0,-1.0,-0.8958622217178345,1.0,1.0,-0.9017464518547058,1.0,-1.0,1.0,1.0,1.0,-1.0
8,8.051101684570312,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.9613113403320312,-1.0,1.0,-0.9101925492286682,1.0,1.0,-1.0,-0.8833072781562805,-0.9669989943504333,1.0,-0.9691635370254517,0.9906522035598755,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-0.9473839402198792,0.9648315906524658,0.805150032043457,1.0,-0.8528540134429932
9,8.051055908203125,-1.0,-1.0,-0.8802672624588013,-0.9554874897003174,-1.0,-1.0,-1.0,-1.0,1.0,0.9210646152496338,1.0,1.0,-0.9973884224891663,1.0,-0.9797371625900269,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9580459594726562,1.0,0.9604086875915527,0.9303162097930908,-1.0,-1.0,1.0,1.0,-1.0,1.0,-0.988753080368042,0.8819339275360107,1.0,0.9956399202346802,-1.0
10,8.050386428833008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9093832969665527,0.968818187713623,0.89652419090271,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-0.8448903560638428,-0.9348753094673157,-1.0,0.9350117444992065,-0.9741339087486267,1.0,0.9141920804977417,0.9302780628204346,-0.9471182227134705,-1.0,1.0,1.0,-1.0,0.9763013124465942,-1.0,1.0,1.0,0.9742985963821411,-0.9450201988220215
11,8.050103187561035,-1.0,-1.0,-1.0,-0.8810021281242371,-1.0,-1.0,-1.0,-0.7561979293823242,1.0,0.9728453159332275,1.0,1.0,-0.9406366944313049,0.954779863357544,-1.0,1.0,0.9858074188232422,-1.0,-1.0,-0.9703429341316223,1.0,-1.0,0.990692138671875,0.8769896030426025,0.9980423450469971,-0.896750271320343,-0.9371696710586548,1.0,1.0,-0.9459255933761597,1.0,-1.0,1.0,1.0,1.0,-0.9399528503417969
12,8.04987621307373,-1.0,-1.0,-0.9371300935745239,-1.0,-1.0,-0.9471027255058289,-1.0,-0.9699779748916626,1.0,1.0,1.0,0.9885725975036621,-1.0,1.0,-1.0,1.0,1.0,-0.9899265170097351,-1.0,-1.0,1.0,-1.0,0.9596073627471924,0.8000823259353638,0.8271114826202393,-0.914172887802124,-1.0,1.0,1.0,-1.0,1.0,-0.8698012232780457,1.0,0.9811487197875977,0.9105772972106934,-1.0
13,8.04927921295166,-1.0,-1.0,-0.9015118479728699,-1.0,-1.0,-1.0,-0.9959138035774231,-0.8387391567230225,1.0,1.0,0.9859997034072876,1.0,-1.0,1.0,-1.0,0.951444149017334,1.0,-0.9667012691497803,-1.0,-1.0,0.9107003211975098,-1.0,0.9956361055374146,1.0,0.9610466957092285,-1.0,-0.9884885549545288,1.0,1.0,-0.9744585156440735,0.9819566011428833,-1.0,1.0,1.0,1.0,-1.0
14,8.049020767211914,-1.0,-1.0,-1.0,-0.973065197467804,-1.0,-0.9505441784858704,-1.0,-1.0,0.9418911933898926,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-0.8156458735466003,-0.7749954462051392,-1.0,1.0,-0.9222931861877441,1.0,0.9993752241134644,0.9875487089157104,-1.0,-1.0,0.9727917909622192,0.9825037717819214,-1.0,1.0,-0.9650876522064209,0.9302890300750732,1.0,1.0,-1.0
15,8.048737525939941,-1.0,-1.0,-0.9349160194396973,-0.9028615355491638,-0.9985427260398865,-1.0,-1.0,-0.8727272152900696,1.0,1.0,1.0,1.0,-0.9582623243331909,1.0,-1.0,1.0,0.9389853477478027,-1.0,-0.9848318099975586,-1.0,1.0,-0.9072715044021606,1.0,0.9619688987731934,1.0,-1.0,-1.0,1.0,1.0,-0.9866577982902527,1.0,-0.9757680892944336,0.930525541305542,1.0,1.0,-1.0
16,8.048492431640625,-0.9867244362831116,-1.0,-0.9879284501075745,-0.8738033175468445,-1.0,-0.9631538987159729,-1.0,-0.9406464695930481,1.0,1.0,1.0,0.9665019512176514,-1.0,1.0,-0.7998839616775513,0.943274736404419,1.0,-1.0,-0.8556064367294312,-1.0,0.9757230281829834,-1.0,1.0,0.8218066692352295,0.9980740547180176,-1.0,-0.956862211227417,1.0,0.9946885108947754,-0.8377716541290283,1.0,-1.0,1.0,0.9957971572875977,0.998460054397583,-1.0
17,8.048115730285645,-0.8804363012313843,-1.0,-1.0,-1.0,-0.9109348058700562,-1.0,-1.0,-1.0,1.0,0.9412271976470947,1.0,1.0,-1.0,0.9487186670303345,-0.9827351570129395,1.0,0.9797929525375366,-1.0,-0.8644886612892151,-0.9877400994300842,1.0,-1.0,1.0,0.8666573762893677,1.0,-0.9515510201454163,-0.9747844934463501,1.0,1.0,-1.0,0.9429605007171631,-1.0,1.0,1.0,1.0,-1.0
